Portfolio surpasses mortgage on: 2043-05
PMI removed on: 2025-01

Year-Month | Portfolio Value | Remaining Mortgage | Home Value
2029-09 | $15,793.90 | $72,197.19 | $112,360.84
2029-10 | $15,843.90 | $72,107.36 | $112,594.93
2029-11 | $15,893.90 | $72,017.02 | $112,829.50
2029-12 | $15,943.90 | $71,926.16 | $113,064.56
2030-01 | $16,950.54 | $71,834.80 | $113,300.11
2030-01 | $17,000.54 | $71,742.91 | $113,536.15
2030-03 | $17,050.54 | $71,650.51 | $113,772.69
2030-04 | $17,100.54 | $71,557.59 | $114,009.71
2030-05 | $17,150.54 | $71,464.14 | $114,247.23
2030-06 | $17,200.54 | $71,370.17 | $114,485.25
2030-07 | $17,250.54 | $71,275.66 | $114,723.76
2030-08 | $17,300.54 | $71,180.62 | $114,962.77
2030-09 | $17,350.54 | $71,085.05 | $115,202.27
2030-10 | $17,400.54 | $70,988.93 | $115,442.28
2030-11 | $17,450.54 | $70,892.27 | $115,682.78
2030-12 | $17,500.54 | $70,795.07 | $115,923.79
2031-01 | $18,600.57 | $70,697.32 | $116,165.30
2031-01 | $18,650.57 | $70,599.01 | $116,407.31
2031-03 | $18,700.57 | $70,500.16 | $116,649.82
2031-04 | $18,750.57 | $70,400.74 | $116,892.84
2031-05 | $18,800.57 | $70,300.76 | $117,136.37
2031-06 | $18,850.57 | $70,200.22 | $117,380.40
2031-07 | $18,900.57 | $70,099.11 | $117,624.95
2031-08 | $18,950.57 | $69,997.42 | $117,870.00
2031-09 | $19,000.57 | $69,895.17 | $118,115.56
2031-10 | $19,050.57 | $69,792.33 | $118,361.64
2031-11 | $19,100.57 | $69,688.92 | $118,608.22
2031-12 | $19,150.57 | $69,584.92 | $118,855.32
2032-01 | $20,349.60 | $69,480.34 | $119,102.94
2032-02 | $20,399.60 | $69,375.16 | $119,351.07
2032-03 | $20,449.60 | $69,269.40 | $119,599.72
2032-04 | $20,499.60 | $69,163.03 | $119,848.88
2032-05 | $20,549.60 | $69,056.06 | $120,098.57
2032-06 | $20,599.60 | $68,948.49 | $120,348.77
2032-07 | $20,649.60 | $68,840.31 | $120,599.50
2032-08 | $20,699.60 | $68,731.53 | $120,850.75
2032-09 | $20,749.60 | $68,622.12 | $121,102.52
2032-10 | $20,799.60 | $68,512.10 | $121,354.82
2032-11 | $20,849.60 | $68,401.46 | $121,607.64
2032-12 | $20,899.60 | $68,290.19 | $121,860.99
2033-01 | $22,203.58 | $68,178.30 | $122,114.87
2033-01 | $22,253.58 | $68,065.77 | $122,369.27
2033-03 | $22,303.58 | $67,952.61 | $122,624.21
2033-04 | $22,353.58 | $67,838.81 | $122,879.68
2033-05 | $22,403.58 | $67,724.37 | $123,135.68
2033-06 | $22,453.58 | $67,609.28 | $123,392.21
2033-07 | $22,503.58 | $67,493.54 | $123,649.28
2033-08 | $22,553.58 | $67,377.15 | $123,906.88
2033-09 | $22,603.58 | $67,260.10 | $124,165.02
2033-10 | $22,653.58 | $67,142.39 | $124,423.70
2033-11 | $22,703.58 | $67,024.02 | $124,682.91
2033-12 | $22,753.58 | $66,904.97 | $124,942.67
2034-01 | $24,168.79 | $66,785.26 | $125,202.96
2034-01 | $24,218.79 | $66,664.87 | $125,463.80
2034-03 | $24,268.79 | $66,543.80 | $125,725.19
2034-04 | $24,318.79 | $66,422.04 | $125,987.11
2034-05 | $24,368.79 | $66,299.60 | $126,249.59
2034-06 | $24,418.79 | $66,176.47 | $126,512.61
2034-07 | $24,468.79 | $66,052.64 | $126,776.18
2034-08 | $24,518.79 | $65,928.11 | $127,040.29
2034-09 | $24,568.79 | $65,802.88 | $127,304.96
2034-10 | $24,618.79 | $65,676.94 | $127,570.18
2034-11 | $24,668.79 | $65,550.29 | $127,835.95
2034-12 | $24,718.79 | $65,422.93 | $128,102.27
2035-01 | $26,251.92 | $65,294.85 | $128,369.15
2035-01 | $26,301.92 | $65,166.04 | $128,636.59
2035-03 | $26,351.92 | $65,036.51 | $128,904.58
2035-04 | $26,401.92 | $64,906.25 | $129,173.13
2035-05 | $26,451.92 | $64,775.25 | $129,442.24
2035-06 | $26,501.92 | $64,643.51 | $129,711.92
2035-07 | $26,551.92 | $64,511.02 | $129,982.15
2035-08 | $26,601.92 | $64,377.79 | $130,252.95
2035-09 | $26,651.92 | $64,243.81 | $130,524.31
2035-10 | $26,701.92 | $64,109.07 | $130,796.23
2035-11 | $26,751.92 | $63,973.57 | $131,068.72
2035-12 | $26,801.92 | $63,837.30 | $131,341.78
2036-01 | $28,460.04 | $63,700.27 | $131,615.41
2036-02 | $28,510.04 | $63,562.46 | $131,889.61
2036-03 | $28,560.04 | $63,423.87 | $132,164.38
2036-04 | $28,610.04 | $63,284.51 | $132,439.72
2036-05 | $28,660.04 | $63,144.35 | $132,715.64
2036-06 | $28,710.04 | $63,003.40 | $132,992.13
2036-07 | $28,760.04 | $62,861.66 | $133,269.20
2036-08 | $28,810.04 | $62,719.12 | $133,546.84
2036-09 | $28,860.04 | $62,575.77 | $133,825.06
2036-10 | $28,910.04 | $62,431.61 | $134,103.87
2036-11 | $28,960.04 | $62,286.64 | $134,383.25
2036-12 | $29,010.04 | $62,140.85 | $134,663.21
2037-01 | $30,800.64 | $61,994.24 | $134,943.76
2037-01 | $30,850.64 | $61,846.80 | $135,224.90
2037-03 | $30,900.64 | $61,698.53 | $135,506.61
2037-04 | $30,950.64 | $61,549.42 | $135,788.92
2037-05 | $31,000.64 | $61,399.46 | $136,071.81
2037-06 | $31,050.64 | $61,248.67 | $136,355.30
2037-07 | $31,100.64 | $61,097.02 | $136,639.37
2037-08 | $31,150.64 | $60,944.51 | $136,924.03
2037-09 | $31,200.64 | $60,791.14 | $137,209.29
2037-10 | $31,250.64 | $60,636.91 | $137,495.15
2037-11 | $31,300.64 | $60,481.81 | $137,781.59
2037-12 | $31,350.64 | $60,325.83 | $138,068.64
2038-01 | $33,281.68 | $60,168.97 | $138,356.28
2038-01 | $33,331.68 | $60,011.22 | $138,644.52
2038-03 | $33,381.68 | $59,852.59 | $138,933.37
2038-04 | $33,431.68 | $59,693.05 | $139,222.81
2038-05 | $33,481.68 | $59,532.62 | $139,512.86
2038-06 | $33,531.68 | $59,371.28 | $139,803.51
2038-07 | $33,581.68 | $59,209.03 | $140,094.77
2038-08 | $33,631.68 | $59,045.87 | $140,386.63
2038-09 | $33,681.68 | $58,881.78 | $140,679.10
2038-10 | $33,731.68 | $58,716.77 | $140,972.19
2038-11 | $33,781.68 | $58,550.83 | $141,265.88
2038-12 | $33,831.68 | $58,383.95 | $141,560.18
2039-01 | $35,911.58 | $58,216.12 | $141,855.10
2039-01 | $35,961.58 | $58,047.35 | $142,150.63
2039-03 | $36,011.58 | $57,877.63 | $142,446.78
2039-04 | $36,061.58 | $57,706.94 | $142,743.54
2039-05 | $36,111.58 | $57,535.30 | $143,040.92
2039-06 | $36,161.58 | $57,362.68 | $143,338.93
2039-07 | $36,211.58 | $57,189.09 | $143,637.55
2039-08 | $36,261.58 | $57,014.53 | $143,936.79
2039-09 | $36,311.58 | $56,838.97 | $144,236.66
2039-10 | $36,361.58 | $56,662.42 | $144,537.16
2039-11 | $36,411.58 | $56,484.88 | $144,838.27
2039-12 | $36,461.58 | $56,306.34 | $145,140.02
2040-01 | $38,699.27 | $56,126.78 | $145,442.40
2040-02 | $38,749.27 | $55,946.22 | $145,745.40
2040-03 | $38,799.27 | $55,764.63 | $146,049.04
2040-04 | $38,849.27 | $55,582.02 | $146,353.31
2040-05 | $38,899.27 | $55,398.38 | $146,658.21
2040-06 | $38,949.27 | $55,213.70 | $146,963.75
2040-07 | $38,999.27 | $55,027.97 | $147,269.92
2040-08 | $39,049.27 | $54,841.20 | $147,576.73
2040-09 | $39,099.27 | $54,653.38 | $147,884.18
2040-10 | $39,149.27 | $54,464.49 | $148,192.28
2040-11 | $39,199.27 | $54,274.54 | $148,501.01
2040-12 | $39,249.27 | $54,083.52 | $148,810.39
2041-01 | $41,654.23 | $53,891.41 | $149,120.41
2041-01 | $41,704.23 | $53,698.22 | $149,431.08
2041-03 | $41,754.23 | $53,503.95 | $149,742.39
2041-04 | $41,804.23 | $53,308.57 | $150,054.36
2041-05 | $41,854.23 | $53,112.09 | $150,366.97
2041-06 | $41,904.23 | $52,914.51 | $150,680.23
2041-07 | $41,954.23 | $52,715.80 | $150,994.15
2041-08 | $42,004.23 | $52,515.98 | $151,308.72
2041-09 | $42,054.23 | $52,315.02 | $151,623.95
2041-10 | $42,104.23 | $52,112.94 | $151,939.83
2041-11 | $42,154.23 | $51,909.71 | $152,256.37
2041-12 | $42,204.23 | $51,705.33 | $152,573.57
2042-01 | $44,786.48 | $51,499.80 | $152,891.43
2042-01 | $44,836.48 | $51,293.11 | $153,209.96
2042-03 | $44,886.48 | $51,085.26 | $153,529.15
2042-04 | $44,936.48 | $50,876.23 | $153,849.00
2042-05 | $44,986.48 | $50,666.01 | $154,169.52
2042-06 | $45,036.48 | $50,454.62 | $154,490.70
2042-07 | $45,086.48 | $50,242.03 | $154,812.56
2042-08 | $45,136.48 | $50,028.23 | $155,135.09
2042-09 | $45,186.48 | $49,813.24 | $155,458.28
2042-10 | $45,236.48 | $49,597.02 | $155,782.15
2042-11 | $45,286.48 | $49,379.59 | $156,106.70
2042-12 | $45,336.48 | $49,160.93 | $156,431.92
2043-01 | $48,106.67 | $48,941.03 | $156,757.82
2043-01 | $48,156.67 | $48,719.90 | $157,084.40
2043-03 | $48,206.67 | $48,497.51 | $157,411.66
2043-04 | $48,256.67 | $48,273.87 | $157,739.60
2043-05 | $48,306.67 | $48,048.97 | $158,068.23
2043-06 | $48,356.67 | $47,822.80 | $158,397.53
2043-07 | $48,406.67 | $47,595.35 | $158,727.53
2043-08 | $48,456.67 | $47,366.61 | $159,058.21
2043-09 | $48,506.67 | $47,136.59 | $159,389.58
2043-10 | $48,556.67 | $46,905.26 | $159,721.65
2043-11 | $48,606.67 | $46,672.63 | $160,054.40
2043-12 | $48,656.67 | $46,438.69 | $160,387.85
2044-01 | $51,626.07 | $46,203.42 | $160,721.99
2044-02 | $51,676.07 | $45,966.83 | $161,056.82
2044-03 | $51,726.07 | $45,728.90 | $161,392.36
2044-04 | $51,776.07 | $45,489.63 | $161,728.59
2044-05 | $51,826.07 | $45,249.01 | $162,065.53
2044-06 | $51,876.07 | $45,007.03 | $162,403.16
2044-07 | $51,926.07 | $44,763.68 | $162,741.50
2044-08 | $51,976.07 | $44,518.96 | $163,080.55
2044-09 | $52,026.07 | $44,272.86 | $163,420.30
2044-10 | $52,076.07 | $44,025.36 | $163,760.76
2044-11 | $52,126.07 | $43,776.47 | $164,101.93
2044-12 | $52,176.07 | $43,526.18 | $164,443.81
2045-01 | $55,356.63 | $43,274.47 | $164,786.40
2045-01 | $55,406.63 | $43,021.34 | $165,129.70
2045-03 | $55,456.63 | $42,766.78 | $165,473.72
2045-04 | $55,506.63 | $42,510.79 | $165,818.46
2045-05 | $55,556.63 | $42,253.35 | $166,163.91
2045-06 | $55,606.63 | $41,994.45 | $166,510.09
2045-07 | $55,656.63 | $41,734.10 | $166,856.99
2045-08 | $55,706.63 | $41,472.27 | $167,204.60
2045-09 | $55,756.63 | $41,208.97 | $167,552.95
2045-10 | $55,806.63 | $40,944.18 | $167,902.02
2045-11 | $55,856.63 | $40,677.89 | $168,251.81
2045-12 | $55,906.63 | $40,410.10 | $168,602.34
2046-01 | $59,311.03 | $40,140.80 | $168,953.59
2046-01 | $59,361.03 | $39,869.98 | $169,305.58
2046-03 | $59,411.03 | $39,597.63 | $169,658.30
2046-04 | $59,461.03 | $39,323.74 | $170,011.75
2046-05 | $59,511.03 | $39,048.31 | $170,365.94
2046-06 | $59,561.03 | $38,771.32 | $170,720.87
2046-07 | $59,611.03 | $38,492.77 | $171,076.54
2046-08 | $59,661.03 | $38,212.64 | $171,432.95
2046-09 | $59,711.03 | $37,930.93 | $171,790.10
2046-10 | $59,761.03 | $37,647.64 | $172,148.00
2046-11 | $59,811.03 | $37,362.74 | $172,506.64
2046-12 | $59,861.03 | $37,076.23 | $172,866.03
2047-01 | $63,502.69 | $36,788.11 | $173,226.17
2047-01 | $63,552.69 | $36,498.36 | $173,587.05
2047-03 | $63,602.69 | $36,206.97 | $173,948.69
2047-04 | $63,652.69 | $35,913.94 | $174,311.09
2047-05 | $63,702.69 | $35,619.26 | $174,674.24
2047-06 | $63,752.69 | $35,322.91 | $175,038.14
2047-07 | $63,802.69 | $35,024.89 | $175,402.80
2047-08 | $63,852.69 | $34,725.18 | $175,768.23
2047-09 | $63,902.69 | $34,423.79 | $176,134.41
2047-10 | $63,952.69 | $34,120.69 | $176,501.36
2047-11 | $64,002.69 | $33,815.88 | $176,869.07
2047-12 | $64,052.69 | $33,509.35 | $177,237.54
2048-01 | $67,945.86 | $33,201.09 | $177,606.79
2048-02 | $67,995.86 | $32,891.08 | $177,976.80
2048-03 | $68,045.86 | $32,579.33 | $178,347.59
2048-04 | $68,095.86 | $32,265.82 | $178,719.15
2048-05 | $68,145.86 | $31,950.54 | $179,091.48
2048-06 | $68,195.86 | $31,633.48 | $179,464.58
2048-07 | $68,245.86 | $31,314.62 | $179,838.47
2048-08 | $68,295.86 | $30,993.97 | $180,213.13
2048-09 | $68,345.86 | $30,671.51 | $180,588.58
2048-10 | $68,395.86 | $30,347.22 | $180,964.80
2048-11 | $68,445.86 | $30,021.11 | $181,341.81
2048-12 | $68,495.86 | $29,693.16 | $181,719.61
2049-01 | $72,655.61 | $29,363.35 | $182,098.19
2049-01 | $72,705.61 | $29,031.68 | $182,477.56
2049-03 | $72,755.61 | $28,698.14 | $182,857.72
2049-04 | $72,805.61 | $28,362.71 | $183,238.68
2049-05 | $72,855.61 | $28,025.40 | $183,620.42
2049-06 | $72,905.61 | $27,686.17 | $184,002.97
2049-07 | $72,955.61 | $27,345.03 | $184,386.31
2049-08 | $73,005.61 | $27,001.97 | $184,770.44
2049-09 | $73,055.61 | $26,656.97 | $185,155.38
2049-10 | $73,105.61 | $26,310.02 | $185,541.12
2049-11 | $73,155.61 | $25,961.11 | $185,927.67
2049-12 | $73,205.61 | $25,610.24 | $186,315.02
2050-01 | $77,647.94 | $25,257.38 | $186,703.17
2050-01 | $77,697.94 | $24,902.53 | $187,092.14
2050-03 | $77,747.94 | $24,545.67 | $187,481.91
2050-04 | $77,797.94 | $24,186.80 | $187,872.50
2050-05 | $77,847.94 | $23,825.91 | $188,263.90
2050-06 | $77,897.94 | $23,462.98 | $188,656.12
2050-07 | $77,947.94 | $23,098.00 | $189,049.15
2050-08 | $77,997.94 | $22,730.95 | $189,443.00
2050-09 | $78,047.94 | $22,361.84 | $189,837.68
2050-10 | $78,097.94 | $21,990.64 | $190,233.17
2050-11 | $78,147.94 | $21,617.35 | $190,629.49
2050-12 | $78,197.94 | $21,241.95 | $191,026.64
2051-01 | $82,939.82 | $20,864.42 | $191,424.61
2051-01 | $82,989.82 | $20,484.77 | $191,823.41
2051-03 | $83,039.82 | $20,102.98 | $192,223.04
2051-04 | $83,089.82 | $19,719.02 | $192,623.51
2051-05 | $83,139.82 | $19,332.91 | $193,024.81
2051-06 | $83,189.82 | $18,944.61 | $193,426.94
2051-07 | $83,239.82 | $18,554.12 | $193,829.91
2051-08 | $83,289.82 | $18,161.42 | $194,233.73
2051-09 | $83,339.82 | $17,766.51 | $194,638.38
2051-10 | $83,389.82 | $17,369.36 | $195,043.88
2051-11 | $83,439.82 | $16,969.98 | $195,450.22
2051-12 | $83,489.82 | $16,568.34 | $195,857.41
2052-01 | $88,549.21 | $16,164.43 | $196,265.44
2052-02 | $88,599.21 | $15,758.24 | $196,674.33
2052-03 | $88,649.21 | $15,349.76 | $197,084.07
2052-04 | $88,699.21 | $14,938.97 | $197,494.66
2052-05 | $88,749.21 | $14,525.87 | $197,906.10
2052-06 | $88,799.21 | $14,110.43 | $198,318.41
2052-07 | $88,849.21 | $13,692.65 | $198,731.57
2052-08 | $88,899.21 | $13,272.50 | $199,145.60
2052-09 | $88,949.21 | $12,849.99 | $199,560.48
2052-10 | $88,999.21 | $12,425.09 | $199,976.23
2052-11 | $89,049.21 | $11,997.79 | $200,392.85
2052-12 | $89,099.21 | $11,568.07 | $200,810.34
2053-01 | $94,495.16 | $11,135.94 | $201,228.69
2053-01 | $94,545.16 | $10,701.36 | $201,647.92
2053-03 | $94,595.16 | $10,264.33 | $202,068.02
2053-04 | $94,645.16 | $9,824.83 | $202,488.99
2053-05 | $94,695.16 | $9,382.85 | $202,910.84
2053-06 | $94,745.16 | $8,938.37 | $203,333.58
2053-07 | $94,795.16 | $8,491.39 | $203,757.19
2053-08 | $94,845.16 | $8,041.88 | $204,181.68
2053-09 | $94,895.16 | $7,589.83 | $204,607.06
2053-10 | $94,945.16 | $7,135.23 | $205,033.32
2053-11 | $94,995.16 | $6,678.07 | $205,460.48
2053-12 | $95,045.16 | $6,218.32 | $205,888.52
2054-01 | $100,797.87 | $5,755.98 | $206,317.45
2054-01 | $100,847.87 | $5,291.03 | $206,747.28
2054-03 | $100,897.87 | $4,823.45 | $207,178.01
2054-04 | $100,947.87 | $4,353.23 | $207,609.63
2054-05 | $100,997.87 | $3,880.36 | $208,042.15
2054-06 | $101,047.87 | $3,404.82 | $208,475.57
2054-07 | $101,097.87 | $2,926.59 | $208,909.89
2054-08 | $101,147.87 | $2,445.67 | $209,345.12
2054-09 | $101,197.87 | $1,962.03 | $209,781.26
2054-10 | $101,247.87 | $1,475.65 | $210,218.30
2054-11 | $101,297.87 | $986.54 | $210,656.26
2054-12 | $101,347.87 | $494.66 | $211,095.12
2055-01 | $107,478.74 | $0.00 | $211,534.90
